Local time,Open,High,Low,Close,Volume
01.08.2023 01:09:00.000 GMT+0200,1.09995,1.09999,1.09993,1.09994,80.5
01.08.2023 01:10:00.000 GMT+0200,1.09995,1.09995,1.09995,1.09995,27
01.08.2023 01:11:00.000 GMT+0200,1.09995,1.09995,1.09994,1.09995,16.2
01.08.2023 01:12:00.000 GMT+0200,1.09994,1.09995,1.09992,1.09994,38.7
01.08.2023 01:13:00.000 GMT+0200,1.09994,1.09995,1.09993,1.09995,55.8
01.08.2023 01:14:00.000 GMT+0200,1.09994,1.09995,1.09994,1.09994,29.7
01.08.2023 01:15:00.000 GMT+0200,1.09995,1.09997,1.09994,1.09995,38.7
01.08.2023 01:16:00.000 GMT+0200,1.09995,1.09995,1.09994,1.09995,16.2
01.08.2023 01:17:00.000 GMT+0200,1.09995,1.09995,1.09995,1.09995,18
01.08.2023 01:18:00.000 GMT+0200,1.09995,1.09995,1.09995,1.09995,0
01.08.2023 01:19:00.000 GMT+0200,1.09995,1.09995,1.09995,1.09995,0
01.08.2023 01:20:00.000 GMT+0200,1.09993,1.09994,1.09993,1.09994,15.95
01.08.2023 01:21:00.000 GMT+0200,1.09995,1.10004,1.09995,1.10002,39.6
01.08.2023 01:22:00.000 GMT+0200,1.10003,1.10003,1.10000,1.10000,37.8
01.08.2023 01:23:00.000 GMT+0200,1.10000,1.10002,1.09999,1.10000,46.55
01.08.2023 01:24:00.000 GMT+0200,1.09999,1.09999,1.09997,1.09998,36
01.08.2023 01:25:00.000 GMT+0200,1.09998,1.10000,1.09995,1.09998,81.45
01.08.2023 01:26:00.000 GMT+0200,1.09997,1.09997,1.09988,1.09989,80.7
01.08.2023 01:27:00.000 GMT+0200,1.09988,1.09989,1.09985,1.09985,30.35
01.08.2023 01:28:00.000 GMT+0200,1.09985,1.09985,1.09985,1.09985,4.5
01.08.2023 01:29:00.000 GMT+0200,1.09985,1.09988,1.09985,1.09985,9.9
01.08.2023 01:30:00.000 GMT+0200,1.09984,1.09984,1.09980,1.09980,42.7
01.08.2023 01:31:00.000 GMT+0200,1.09979,1.09981,1.09979,1.09980,20.91
01.08.2023 01:32:00.000 GMT+0200,1.09981,1.09981,1.09978,1.09981,22.05
01.08.2023 01:33:00.000 GMT+0200,1.09982,1.09984,1.09980,1.09983,34.29
01.08.2023 01:34:00.000 GMT+0200,1.09983,1.09985,1.09980,1.09984,31.26
01.08.2023 01:35:00.000 GMT+0200,1.09985,1.09985,1.09983,1.09984,16.08
01.08.2023 01:36:00.000 GMT+0200,1.09984,1.09986,1.09983,1.09983,13.86
01.08.2023 01:37:00.000 GMT+0200,1.09983,1.09985,1.09983,1.09984,26.55
